MTHD,MODL,NTAX,NGEN,TRLN,REPL,DATA,DMAT,STRE,SMAX,SECS
ASTRAL,100tax+75gen,100,75,10M,01,exon,NA,ASTRAL,NA,6.867
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,01,exon,AGID,ASTRAL,30,32.4336829795837
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,01,exon,AGID,ASTRAL,30,17.6856829795837
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,01,exon,log-det,ASTRAL,30,16.012
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,01,exon,log-det,ASTRAL,30,12.945
SVDquartets,100tax+75gen,100,75,10M,01,exon,NA,SVDquartets,NA,206
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,01,exon,AGID,SVDquartets,30,69.5446829795837
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,01,exon,AGID,SVDquartets,30,31.7646829795837
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,01,exon,log-det,SVDquartets,30,72.87
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,01,exon,log-det,SVDquartets,30,33.69
RAxML,100tax+75gen,100,75,10M,01,exon,NA,RAxML,NA,77.626125
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,01,exon,AGID,RAxML,30,28.7153239795837
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,01,exon,AGID,RAxML,30,17.7571449795837
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,01,exon,log-det,RAxML,30,28.59395
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,01,exon,log-det,RAxML,30,16.408255
ASTRAL,100tax+75gen,100,75,10M,01,intron,NA,ASTRAL,NA,4.202
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,01,intron,AGID,ASTRAL,30,27.191220924377397
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,01,intron,AGID,ASTRAL,30,13.323220924377399
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,01,intron,log-det,ASTRAL,30,14.44
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,01,intron,log-det,ASTRAL,30,11.933
SVDquartets,100tax+75gen,100,75,10M,01,intron,NA,SVDquartets,NA,277
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,01,intron,AGID,SVDquartets,30,70.9042209243774
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,01,intron,AGID,SVDquartets,30,29.284220924377397
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,01,intron,log-det,SVDquartets,30,70.57
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,01,intron,log-det,SVDquartets,30,32.75
RAxML,100tax+75gen,100,75,10M,01,intron,NA,RAxML,NA,158.161236
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,01,intron,AGID,RAxML,30,46.0141759243774
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,01,intron,AGID,RAxML,30,22.3907419243774
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,01,intron,log-det,RAxML,30,51.032507
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,01,intron,log-det,RAxML,30,23.894123999999998
ASTRAL,100tax+75gen,100,75,10M,02,exon,NA,ASTRAL,NA,4.629
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,02,exon,AGID,ASTRAL,30,26.763013189315803
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,02,exon,AGID,ASTRAL,30,10.5750131893158
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,02,exon,log-det,ASTRAL,30,10.077
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,02,exon,log-det,ASTRAL,30,6.995
SVDquartets,100tax+75gen,100,75,10M,02,exon,NA,SVDquartets,NA,193
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,02,exon,AGID,SVDquartets,30,69.6350131893158
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,02,exon,AGID,SVDquartets,30,22.6850131893158
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,02,exon,log-det,SVDquartets,30,69.47
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,02,exon,log-det,SVDquartets,30,26.39
RAxML,100tax+75gen,100,75,10M,02,exon,NA,RAxML,NA,81.183014
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,02,exon,AGID,RAxML,30,14.225536189315799
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,02,exon,AGID,RAxML,30,8.048512189315801
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,02,exon,log-det,RAxML,30,14.03692
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,02,exon,log-det,RAxML,30,8.676625
ASTRAL,100tax+75gen,100,75,10M,02,intron,NA,ASTRAL,NA,7.215
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,02,intron,AGID,ASTRAL,30,26.6775009727478
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,02,intron,AGID,ASTRAL,30,10.750500972747801
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,02,intron,log-det,ASTRAL,30,9.914
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,02,intron,log-det,ASTRAL,30,7.057
SVDquartets,100tax+75gen,100,75,10M,02,intron,NA,SVDquartets,NA,196
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,02,intron,AGID,SVDquartets,30,72.3425009727478
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,02,intron,AGID,SVDquartets,30,25.9525009727478
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,02,intron,log-det,SVDquartets,30,76.91
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,02,intron,log-det,SVDquartets,30,30.82
RAxML,100tax+75gen,100,75,10M,02,intron,NA,RAxML,NA,47.865713
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,02,intron,AGID,RAxML,30,14.6549869727478
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,02,intron,AGID,RAxML,30,9.711028972747801
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,02,intron,log-det,RAxML,30,14.895237999999999
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,02,intron,log-det,RAxML,30,9.228061
ASTRAL,100tax+75gen,100,75,10M,03,exon,NA,ASTRAL,NA,4.3
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,03,exon,AGID,ASTRAL,30,20.333023990631098
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,03,exon,AGID,ASTRAL,30,9.8260239906311
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,03,exon,log-det,ASTRAL,30,9.541
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,03,exon,log-det,ASTRAL,30,7.077
SVDquartets,100tax+75gen,100,75,10M,03,exon,NA,SVDquartets,NA,219
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,03,exon,AGID,SVDquartets,30,74.9240239906311
