MODL,REPL,MULT,DIST,TREE,NL,I1,I2,FP,FN,RF
100M3,R0,1,JC,NJ,100,97,97,90,90,0.927835
100M3,R0,0.1,JC,NJ,100,97,97,68,68,0.701031
100M3,R0,0.05,JC,NJ,100,97,97,46,46,0.474227
100M3,R0,0.01,JC,NJ,100,97,97,13,13,0.134021
100M3,R0,0.005,JC,NJ,100,97,97,8,8,0.082474
100M3,R0,0.001,JC,NJ,100,97,97,4,4,0.041237
100M3,R1,1,JC,NJ,100,97,97,94,94,0.969072
100M3,R1,0.1,JC,NJ,100,97,97,71,71,0.731959
100M3,R1,0.05,JC,NJ,100,97,97,53,53,0.546392
100M3,R1,0.01,JC,NJ,100,97,97,20,20,0.206186
100M3,R1,0.005,JC,NJ,100,97,97,15,15,0.154639
100M3,R1,0.001,JC,NJ,
100M3,R2,1,JC,NJ,100,97,97,93,93,0.958763
100M3,R2,0.1,JC,NJ,100,97,97,59,59,0.608247
100M3,R2,0.05,JC,NJ,100,97,97,48,48,0.494845
100M3,R2,0.01,JC,NJ,100,97,97,19,19,0.195876
100M3,R2,0.005,JC,NJ,100,97,97,6,6,0.061856
100M3,R2,0.001,JC,NJ,100,97,97,8,8,0.082474
100M3,R3,1,JC,NJ,100,97,97,95,95,0.979381
100M3,R3,0.1,JC,NJ,100,97,97,70,70,0.721649
100M3,R3,0.05,JC,NJ,100,97,97,57,57,0.587629
100M3,R3,0.01,JC,NJ,100,97,97,26,26,0.268041
100M3,R3,0.005,JC,NJ,100,97,97,6,6,0.061856
100M3,R3,0.001,JC,NJ,100,97,97,10,10,0.103093
100M3,R4,1,JC,NJ,100,97,97,96,96,0.989691
100M3,R4,0.1,JC,NJ,100,97,97,70,70,0.721649
100M3,R4,0.05,JC,NJ,100,97,97,51,51,0.525773
100M3,R4,0.01,JC,NJ,100,97,97,25,25,0.257732
100M3,R4,0.005,JC,NJ,100,97,97,8,8,0.082474
100M3,R4,0.001,JC,NJ,100,97,97,8,8,0.082474
