MODL,REPL,MULT,DIST,TREE,NL,I1,I2,FP,FN,RF
100M3,R0,1,JC,NJ,100,97,97,90,90,0.927835
100M3,R0,0.1,JC,NJ,100,97,97,65,65,0.670103
100M3,R0,0.05,JC,NJ,100,97,97,46,46,0.474227
100M3,R0,0.01,JC,NJ,100,97,97,12,12,0.123711
100M3,R0,0.005,JC,NJ,100,97,97,10,10,0.103093
100M3,R0,0.001,JC,NJ,100,97,97,6,6,0.061856
100M3,R1,1,JC,NJ,100,97,97,94,94,0.969072
100M3,R1,0.1,JC,NJ,100,97,97,67,67,0.690722
100M3,R1,0.05,JC,NJ,100,97,97,56,56,0.577320
100M3,R1,0.01,JC,NJ,100,97,97,24,24,0.247423
100M3,R1,0.005,JC,NJ,100,97,97,15,15,0.154639
100M3,R1,0.001,JC,NJ,
100M3,R2,1,JC,NJ,100,97,97,93,93,0.958763
100M3,R2,0.1,JC,NJ,100,97,97,60,60,0.618557
100M3,R2,0.05,JC,NJ,100,97,97,46,46,0.474227
100M3,R2,0.01,JC,NJ,100,97,97,19,19,0.195876
100M3,R2,0.005,JC,NJ,100,97,97,4,4,0.041237
100M3,R2,0.001,JC,NJ,100,97,97,12,12,0.123711
100M3,R3,1,JC,NJ,100,97,97,95,95,0.979381
100M3,R3,0.1,JC,NJ,100,97,97,68,68,0.701031
100M3,R3,0.05,JC,NJ,100,97,97,58,58,0.597938
100M3,R3,0.01,JC,NJ,100,97,97,22,22,0.226804
100M3,R3,0.005,JC,NJ,100,97,97,9,9,0.092784
100M3,R3,0.001,JC,NJ,100,97,97,10,10,0.103093
100M3,R4,1,JC,NJ,100,97,97,94,94,0.969072
100M3,R4,0.1,JC,NJ,100,97,97,68,68,0.701031
100M3,R4,0.05,JC,NJ,100,97,97,52,52,0.536082
100M3,R4,0.01,JC,NJ,100,97,97,25,25,0.257732
100M3,R4,0.005,JC,NJ,100,97,97,14,14,0.144330
100M3,R4,0.001,JC,NJ,100,97,97,10,10,0.103093
