MODL,REPL,MULT,DIST,TREE,NL,I1,I2,FP,FN,RF
100M3,R0,1-0,JC,NJ,100,97,97,91,91,0.938144
100M3,R0,0-1,JC,NJ,100,97,97,65,65,0.670103
100M3,R0,0-01,JC,NJ,100,97,97,31,31,0.319588
100M3,R0,0-05,JC,NJ,100,97,97,44,44,0.453608
100M3,R0,0-001,JC,NJ,100,97,97,4,4,0.041237
100M3,R0,0-005,JC,NJ,100,97,97,10,10,0.103093
100M3,R1,1-0,JC,NJ,100,97,97,95,95,0.979381
100M3,R1,0-1,JC,NJ,100,97,97,66,66,0.680412
100M3,R1,0-01,JC,NJ,100,97,97,27,27,0.278351
100M3,R1,0-05,JC,NJ,100,97,97,48,48,0.494845
100M3,R1,0-001,JC,NJ,100,97,97,8,8,0.082474
100M3,R1,0-005,JC,NJ,100,97,97,9,9,0.092784
100M3,R2,1-0,JC,NJ,100,97,97,92,92,0.948454
100M3,R2,0-1,JC,NJ,100,97,97,62,62,0.639175
100M3,R2,0-01,JC,NJ,100,97,97,32,32,0.329897
100M3,R2,0-05,JC,NJ,100,97,97,48,48,0.494845
100M3,R2,0-001,JC,NJ,100,97,97,13,13,0.134021
100M3,R2,0-005,JC,NJ,100,97,97,5,5,0.051546
100M3,R3,1-0,JC,NJ,100,97,97,95,95,0.979381
100M3,R3,0-1,JC,NJ,100,97,97,71,71,0.731959
100M3,R3,0-01,JC,NJ,100,97,97,24,24,0.247423
100M3,R3,0-05,JC,NJ,100,97,97,59,59,0.608247
100M3,R3,0-001,JC,NJ,100,97,97,8,8,0.082474
100M3,R3,0-005,JC,NJ,100,97,97,9,9,0.092784
100M3,R4,1-0,JC,NJ,100,97,97,96,96,0.989691
100M3,R4,0-1,JC,NJ,100,97,97,67,67,0.690722
100M3,R4,0-01,JC,NJ,100,97,97,29,29,0.298969
100M3,R4,0-05,JC,NJ,100,97,97,53,53,0.546392
100M3,R4,0-001,JC,NJ,100,97,97,7,7,0.072165
100M3,R4,0-005,JC,NJ,100,97,97,15,15,0.154639
