MODL,REPL,MULT,DIST,TREE,NL,I1,I2,FP,FN,RF
100M3,R0,1.0,JC,NJ,100,97,97,93,93,0.958763
100M3,R0,0.1,JC,NJ,100,97,97,73,73,0.752577
100M3,R0,0.05,JC,NJ,100,97,97,59,59,0.608247
100M3,R0,0.01,JC,NJ,100,97,97,49,49,0.505155
100M3,R0,0.005,JC,NJ,100,97,97,49,49,0.505155
100M3,R0,0.001,JC,NJ,100,97,97,38,38,0.391753
100M3,R1,1.0,JC,NJ,100,95,97,94,92,0.958763
100M3,R1,0.1,JC,NJ,100,95,97,74,72,0.752577
100M3,R1,0.05,JC,NJ,100,95,97,68,66,0.690722
100M3,R1,0.01,JC,NJ,100,95,97,50,48,0.505155
100M3,R1,0.005,JC,NJ,100,95,97,49,47,0.494845
100M3,R1,0.001,JC,NJ,100,95,97,42,40,0.422680
100M3,R2,1.0,JC,NJ,100,97,97,93,93,0.958763
100M3,R2,0.1,JC,NJ,100,97,97,68,68,0.701031
100M3,R2,0.05,JC,NJ,100,97,97,56,56,0.577320
100M3,R2,0.01,JC,NJ,100,97,97,57,57,0.587629
100M3,R2,0.005,JC,NJ,100,97,97,60,60,0.618557
100M3,R2,0.001,JC,NJ,100,97,97,27,27,0.278351
100M3,R3,1.0,JC,NJ,100,97,97,96,96,0.989691
100M3,R3,0.1,JC,NJ,100,97,97,76,76,0.783505
100M3,R3,0.05,JC,NJ,100,97,97,66,66,0.680412
100M3,R3,0.01,JC,NJ,100,97,97,44,44,0.453608
100M3,R3,0.005,JC,NJ,100,97,97,45,45,0.463918
100M3,R3,0.001,JC,NJ,100,97,97,31,31,0.319588
100M3,R4,1.0,JC,NJ,100,96,97,96,95,0.984536
100M3,R4,0.1,JC,NJ,100,96,97,81,80,0.829897
100M3,R4,0.05,JC,NJ,100,96,97,68,67,0.695876
100M3,R4,0.01,JC,NJ,100,96,97,55,54,0.561856
100M3,R4,0.005,JC,NJ,100,96,97,59,58,0.603093
100M3,R4,0.001,JC,NJ,100,96,97,35,34,0.355670
