Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

alignment00	Tree00	100	1	1	3454.44	201.114	399.999	(((((((SBA:2.0018,SIH:1.3308):6.7889,(SII:3.0275,SE:8.2974):1.174):6.9506,(SB:11.1551,SGE:9.9752):13.2825):6.0349,(SDH:12.1334,SHC:10.7737):8.55):28.4975,(SBAA:89.6442,SBD:61.5845):11.9851):19.6992,((((SCJ:2.4953,SID:2.0138):9.3066,SGI:11.0004):56.0348,(((SGA:1.8958,SHF:4.008):33.5474,SEA:32.126):10.2507,(SJE:2.9722,SEB:7.5717):51.1154):47.521):34.9221,((SFB:7.9909,SBE:18.7853):26.2538,SBG:20.3416):55.2189):2.2595):55.495,(((((SD:29.4125,SBI:45.7816):5.8286,SFF:46.4395):39.4207,(((((SHE:12.2077,SEG:16.4729):17.7413,((SJ:3.9066,SIG:6.8628):28.3466,SDI:19.924):27.457):6.0718,(SGF:46.5365,(SBJ:27.7302,SCG:20.6672):13.4125):9.7749):41.5251,(((((SF:7.07,SCC:7.5924):24.6818,((SBF:9.638,SDF:11.9683):0.2543,(SJF:6.3072,SCH:13.4459):1.2707):29.4203):12.8426,SDD:27.3447):4.0427,((SHI:1.6857,SEC:1.7155):24.0409,SFD:33.0608):19.0786):11.3084,(((SED:5.7506,(SJJ:11.9696,SGD:5.542):1.5564):46.4614,(SFC:7.4594,SFI:4.6438):30.8656):5.2294,(SJC:62.1559,(SFH:9.2632,SC:26.1825):17.3839):20.2818):12.5953):18.3348):9.6306,(SCI:15.5068,(SDG:9.9635,SJH:9.5021):0.357):98.2179):15.1494):5.0872,(SIF:12.5176,SCF:16.2164):164.141):3.5232,(((((SGB:0.7815,SFG:0.4761):5.3462,(SBB:1.2783,SFJ:1.8787):8.3095):4.8891,(SCD:0.2424,SBC:0.1856):19.6458):58.639,((((SCE:19.753,SHG:21.7944):31.7953,SHB:68.4489):3.473,(((SDB:4.9187,(SIB:0.9639,SHJ:1.2498):6.2065):11.668,SCB:16.7721):9.6933,((SEI:3.8329,SFA:2.4781):16.4494,(SBH:15.7152,(SDC:5.4858,SGG:8.0433):8.8425):13.8266):0.6852):27.397):6.5905,(SIJ:82.2918,((SHA:26.5657,SDA:37.8577):14.9082,((SG:0.2208,SFE:0.2409):19.0262,((((SGJ:1.209,SHD:0.7417):6.0717,SGH:20.3811):1.5352,SJA:11.1861):20.1821,SIE:41.0207):4.9927):12.8509):2.9046):16.7997):70.8477):2.6794,(((((SIC:4.3197,SEH:4.6594):7.9394,(SCA:1.562,SJG:2.4703):23.6662):36.5244,((SJB:1.5439,SEF:0.5589):30.3433,((SH:17.6356,SJI:15.5752):2.7848,SEJ:7.8467):7.1936):10.8799):16.1054,((SDE:15.5898,(SEE:0.5702,SGC:0.725):11.2355):67.358,((SHH:5.3641,SJD:2.8142):17.5541,(SDJ:9.3937,SIA:14.7902):1.1709):20.8172):3.3828):43.562,SI:49.5785):11.7559):3.8771):17.2339);

alignment01	Tree01	100	1	1	345.444	20.1115	39.9999	(((((((SBA:0.20018,SIH:0.13308):0.67889,(SII:0.30275,SE:0.82974):0.1174):0.69506,(SB:1.11551,SGE:0.99752):1.32825):0.60349,(SDH:1.21334,SHC:1.07737):0.855):2.84975,(SBAA:8.96442,SBD:6.15845):1.19851):1.96992,((((SCJ:0.24953,SID:0.20138):0.93066,SGI:1.10004):5.60348,(((SGA:0.18958,SHF:0.4008):3.35474,SEA:3.2126):1.02507,(SJE:0.29722,SEB:0.75717):5.11154):4.7521):3.49221,((SFB:0.79909,SBE:1.87853):2.62538,SBG:2.03416):5.52189):0.22595):5.5495,(((((SD:2.94125,SBI:4.57816):0.58286,SFF:4.64395):3.94207,(((((SHE:1.22077,SEG:1.64729):1.77413,((SJ:0.39066,SIG:0.68628):2.83466,SDI:1.9924):2.7457):0.60718,(SGF:4.65365,(SBJ:2.77302,SCG:2.06672):1.34125):0.97749):4.15251,(((((SF:0.707,SCC:0.75924):2.46818,((SBF:0.9638,SDF:1.19683):0.02543,(SJF:0.63072,SCH:1.34459):0.12707):2.94203):1.28426,SDD:2.73447):0.40427,((SHI:0.16857,SEC:0.17155):2.40409,SFD:3.30608):1.90786):1.13084,(((SED:0.57506,(SJJ:1.19696,SGD:0.5542):0.15564):4.64614,(SFC:0.74594,SFI:0.46438):3.08656):0.52294,(SJC:6.21559,(SFH:0.92632,SC:2.61825):1.73839):2.02818):1.25953):1.83348):0.96306,(SCI:1.55068,(SDG:0.99635,SJH:0.95021):0.0357):9.82179):1.51494):0.50872,(SIF:1.25176,SCF:1.62164):16.4141):0.35232,(((((SGB:0.07815,SFG:0.04761):0.53462,(SBB:0.12783,SFJ:0.18787):0.83095):0.48891,(SCD:0.02424,SBC:0.01856):1.96458):5.8639,((((SCE:1.9753,SHG:2.17944):3.17953,SHB:6.84489):0.3473,(((SDB:0.49187,(SIB:0.09639,SHJ:0.12498):0.62065):1.1668,SCB:1.67721):0.96933,((SEI:0.38329,SFA:0.24781):1.64494,(SBH:1.57152,(SDC:0.54858,SGG:0.80433):0.88425):1.38266):0.06852):2.7397):0.65905,(SIJ:8.22918,((SHA:2.65657,SDA:3.78577):1.49082,((SG:0.02208,SFE:0.02409):1.90262,((((SGJ:0.1209,SHD:0.07417):0.60717,SGH:2.03811):0.15352,SJA:1.11861):2.01821,SIE:4.10207):0.49927):1.28509):0.29046):1.67997):7.08477):0.26794,(((((SIC:0.43197,SEH:0.46594):0.79394,(SCA:0.1562,SJG:0.24703):2.36662):3.65244,((SJB:0.15439,SEF:0.05589):3.03433,((SH:1.76356,SJI:1.55752):0.27848,SEJ:0.78467):0.71936):1.08799):1.61054,((SDE:1.55898,(SEE:0.05702,SGC:0.0725):1.12355):6.7358,((SHH:0.53641,SJD:0.28142):1.75541,(SDJ:0.93937,SIA:1.47902):0.11709):2.08172):0.33828):4.3562,SI:4.95785):1.17559):0.38771):1.72339);

alignment02	Tree02	100	1	1	172.722	10.0557	19.9999	(((((((SBA:0.10009,SIH:0.06654):0.339445,(SII:0.151375,SE:0.41487):0.0587):0.34753,(SB:0.557755,SGE:0.49876):0.664125):0.301745,(SDH:0.60667,SHC:0.538685):0.4275):1.42488,(SBAA:4.48221,SBD:3.07923):0.599255):0.98496,((((SCJ:0.124765,SID:0.10069):0.46533,SGI:0.55002):2.80174,(((SGA:0.09479,SHF:0.2004):1.67737,SEA:1.6063):0.512535,(SJE:0.14861,SEB:0.378585):2.55577):2.37605):1.74611,((SFB:0.399545,SBE:0.939265):1.31269,SBG:1.01708):2.76095):0.112975):2.77475,(((((SD:1.47063,SBI:2.28908):0.29143,SFF:2.32198):1.97104,(((((SHE:0.610385,SEG:0.823645):0.887065,((SJ:0.19533,SIG:0.34314):1.41733,SDI:0.9962):1.37285):0.30359,(SGF:2.32683,(SBJ:1.38651,SCG:1.03336):0.670625):0.488745):2.07626,(((((SF:0.3535,SCC:0.37962):1.23409,((SBF:0.4819,SDF:0.598415):0.012715,(SJF:0.31536,SCH:0.672295):0.063535):1.47102):0.64213,SDD:1.36724):0.202135,((SHI:0.084285,SEC:0.085775):1.20205,SFD:1.65304):0.95393):0.56542,(((SED:0.28753,(SJJ:0.59848,SGD:0.2771):0.07782):2.32307,(SFC:0.37297,SFI:0.23219):1.54328):0.26147,(SJC:3.1078,(SFH:0.46316,SC:1.30913):0.869195):1.01409):0.629765):0.91674):0.48153,(SCI:0.77534,(SDG:0.498175,SJH:0.475105):0.01785):4.9109):0.75747):0.25436,(SIF:0.62588,SCF:0.81082):8.20703):0.17616,(((((SGB:0.039075,SFG:0.023805):0.26731,(SBB:0.063915,SFJ:0.093935):0.415475):0.244455,(SCD:0.01212,SBC:0.00928):0.98229):2.93195,((((SCE:0.98765,SHG:1.08972):1.58977,SHB:3.42245):0.17365,(((SDB:0.245935,(SIB:0.048195,SHJ:0.06249):0.310325):0.5834,SCB:0.838605):0.484665,((SEI:0.191645,SFA:0.123905):0.82247,(SBH:0.78576,(SDC:0.27429,SGG:0.402165):0.442125):0.69133):0.03426):1.36985):0.329525,(SIJ:4.11459,((SHA:1.32829,SDA:1.89289):0.74541,((SG:0.01104,SFE:0.012045):0.95131,((((SGJ:0.06045,SHD:0.037085):0.303585,SGH:1.01906):0.07676,SJA:0.559305):1.00911,SIE:2.05104):0.249635):0.642545):0.14523):0.839985):3.54239):0.13397,(((((SIC:0.215985,SEH:0.23297):0.39697,(SCA:0.0781,SJG:0.123515):1.18331):1.82622,((SJB:0.077195,SEF:0.027945):1.51717,((SH:0.88178,SJI:0.77876):0.13924,SEJ:0.392335):0.35968):0.543995):0.80527,((SDE:0.77949,(SEE:0.02851,SGC:0.03625):0.561775):3.3679,((SHH:0.268205,SJD:0.14071):0.877705,(SDJ:0.469685,SIA:0.73951):0.058545):1.04086):0.16914):2.1781,SI:2.47893):0.587795):0.193855):0.861695);

alignment03	Tree03	100	1	1	34.5444	2.01114	3.99999	(((((((SBA:0.020018,SIH:0.013308):0.067889,(SII:0.030275,SE:0.082974):0.01174):0.069506,(SB:0.111551,SGE:0.099752):0.132825):0.060349,(SDH:0.121334,SHC:0.107737):0.0855):0.284975,(SBAA:0.896442,SBD:0.615845):0.119851):0.196992,((((SCJ:0.024953,SID:0.020138):0.093066,SGI:0.110004):0.560348,(((SGA:0.018958,SHF:0.04008):0.335474,SEA:0.32126):0.102507,(SJE:0.029722,SEB:0.075717):0.511154):0.47521):0.349221,((SFB:0.079909,SBE:0.187853):0.262538,SBG:0.203416):0.552189):0.022595):0.55495,(((((SD:0.294125,SBI:0.457816):0.058286,SFF:0.464395):0.394207,(((((SHE:0.122077,SEG:0.164729):0.177413,((SJ:0.039066,SIG:0.068628):0.283466,SDI:0.19924):0.27457):0.060718,(SGF:0.465365,(SBJ:0.277302,SCG:0.206672):0.134125):0.097749):0.415251,(((((SF:0.0707,SCC:0.075924):0.246818,((SBF:0.09638,SDF:0.119683):0.002543,(SJF:0.063072,SCH:0.134459):0.012707):0.294203):0.128426,SDD:0.273447):0.040427,((SHI:0.016857,SEC:0.017155):0.240409,SFD:0.330608):0.190786):0.113084,(((SED:0.057506,(SJJ:0.119696,SGD:0.05542):0.015564):0.464614,(SFC:0.074594,SFI:0.046438):0.308656):0.052294,(SJC:0.621559,(SFH:0.092632,SC:0.261825):0.173839):0.202818):0.125953):0.183348):0.096306,(SCI:0.155068,(SDG:0.099635,SJH:0.095021):0.00357):0.982179):0.151494):0.050872,(SIF:0.125176,SCF:0.162164):1.64141):0.035232,(((((SGB:0.007815,SFG:0.004761):0.053462,(SBB:0.012783,SFJ:0.018787):0.083095):0.048891,(SCD:0.002424,SBC:0.001856):0.196458):0.58639,((((SCE:0.19753,SHG:0.217944):0.317953,SHB:0.684489):0.03473,(((SDB:0.049187,(SIB:0.009639,SHJ:0.012498):0.062065):0.11668,SCB:0.167721):0.096933,((SEI:0.038329,SFA:0.024781):0.164494,(SBH:0.157152,(SDC:0.054858,SGG:0.080433):0.088425):0.138266):0.006852):0.27397):0.065905,(SIJ:0.822918,((SHA:0.265657,SDA:0.378577):0.149082,((SG:0.002208,SFE:0.002409):0.190262,((((SGJ:0.01209,SHD:0.007417):0.060717,SGH:0.203811):0.015352,SJA:0.111861):0.201821,SIE:0.410207):0.049927):0.128509):0.029046):0.167997):0.708477):0.026794,(((((SIC:0.043197,SEH:0.046594):0.079394,(SCA:0.01562,SJG:0.024703):0.236662):0.365244,((SJB:0.015439,SEF:0.005589):0.303433,((SH:0.176356,SJI:0.155752):0.027848,SEJ:0.078467):0.071936):0.108799):0.161054,((SDE:0.155898,(SEE:0.005702,SGC:0.00725):0.112355):0.67358,((SHH:0.053641,SJD:0.028142):0.175541,(SDJ:0.093937,SIA:0.147902):0.011709):0.208172):0.033828):0.43562,SI:0.495785):0.117559):0.038771):0.172339);

alignment04	Tree04	100	1	1	17.2722	1.00557	1.99999	(((((((SBA:0.010009,SIH:0.006654):0.0339445,(SII:0.0151375,SE:0.041487):0.00587):0.034753,(SB:0.0557755,SGE:0.049876):0.0664125):0.0301745,(SDH:0.060667,SHC:0.0538685):0.04275):0.142488,(SBAA:0.448221,SBD:0.307923):0.0599255):0.098496,((((SCJ:0.0124765,SID:0.010069):0.046533,SGI:0.055002):0.280174,(((SGA:0.009479,SHF:0.02004):0.167737,SEA:0.16063):0.0512535,(SJE:0.014861,SEB:0.0378585):0.255577):0.237605):0.174611,((SFB:0.0399545,SBE:0.0939265):0.131269,SBG:0.101708):0.276095):0.0112975):0.277475,(((((SD:0.147063,SBI:0.228908):0.029143,SFF:0.232198):0.197104,(((((SHE:0.0610385,SEG:0.0823645):0.0887065,((SJ:0.019533,SIG:0.034314):0.141733,SDI:0.09962):0.137285):0.030359,(SGF:0.232683,(SBJ:0.138651,SCG:0.103336):0.0670625):0.0488745):0.207626,(((((SF:0.03535,SCC:0.037962):0.123409,((SBF:0.04819,SDF:0.0598415):0.0012715,(SJF:0.031536,SCH:0.0672295):0.0063535):0.147102):0.064213,SDD:0.136724):0.0202135,((SHI:0.0084285,SEC:0.0085775):0.120205,SFD:0.165304):0.095393):0.056542,(((SED:0.028753,(SJJ:0.059848,SGD:0.02771):0.007782):0.232307,(SFC:0.037297,SFI:0.023219):0.154328):0.026147,(SJC:0.31078,(SFH:0.046316,SC:0.130913):0.0869195):0.101409):0.0629765):0.091674):0.048153,(SCI:0.077534,(SDG:0.0498175,SJH:0.0475105):0.001785):0.49109):0.075747):0.025436,(SIF:0.062588,SCF:0.081082):0.820703):0.017616,(((((SGB:0.0039075,SFG:0.0023805):0.026731,(SBB:0.0063915,SFJ:0.0093935):0.0415475):0.0244455,(SCD:0.001212,SBC:0.000928):0.098229):0.293195,((((SCE:0.098765,SHG:0.108972):0.158977,SHB:0.342245):0.017365,(((SDB:0.0245935,(SIB:0.0048195,SHJ:0.006249):0.0310325):0.05834,SCB:0.0838605):0.0484665,((SEI:0.0191645,SFA:0.0123905):0.082247,(SBH:0.078576,(SDC:0.027429,SGG:0.0402165):0.0442125):0.069133):0.003426):0.136985):0.0329525,(SIJ:0.411459,((SHA:0.132829,SDA:0.189289):0.074541,((SG:0.001104,SFE:0.0012045):0.095131,((((SGJ:0.006045,SHD:0.0037085):0.0303585,SGH:0.101906):0.007676,SJA:0.0559305):0.100911,SIE:0.205104):0.0249635):0.0642545):0.014523):0.0839985):0.354239):0.013397,(((((SIC:0.0215985,SEH:0.023297):0.039697,(SCA:0.00781,SJG:0.0123515):0.118331):0.182622,((SJB:0.0077195,SEF:0.0027945):0.151717,((SH:0.088178,SJI:0.077876):0.013924,SEJ:0.0392335):0.035968):0.0543995):0.080527,((SDE:0.077949,(SEE:0.002851,SGC:0.003625):0.0561775):0.33679,((SHH:0.0268205,SJD:0.014071):0.0877705,(SDJ:0.0469685,SIA:0.073951):0.0058545):0.104086):0.016914):0.21781,SI:0.247893):0.0587795):0.0193855):0.0861695);
