Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

/home/qikaiy2/Downloads/reu2019-tutorials/qikaiy2_project_1/output_data/aligns/GTRCAT/RAxML_bestTree.uce-1158.fasta	TreeRAxML_bestTree.uce-1158.fasta	18	1	1	0.00568185	0.00192741	0.00380153	(cyrtonyx_montezumae:0.00000100000050002909,((((perdix_dauuricae:0.00192340699397953096,tragopan_blythii:0.00000100000050002909):0.00000100000050002909,pavo_cristatus:0.00000100000050002909):0.00000100000050002909,(lophophorus_impejanus:0.00000100000050002909,melgal2:0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,((syrmaticus_ellioti:0.00000100000050002909,(rollulus_rouloul:0.00000100000050002909,galgal4:0.00185932148368138004):0.00000100000050002909):0.00000100000050002909,(lophura_nycthemera:0.00000100000050002909,((lophura_inornata:0.00000100000050002909,(lophura_swinhoii:0.00000100000050002909,crossoptilon_crossoptilon:0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,(catreus_wallichi:0.00000100000050002909,(chrysolophus_pictus:0.00000100000050002909,(phasianus_colchicus:0.00000100000050002909,syrmaticus_reevesii:0.00000100000050002909):0.00000100000050002909):0.00000100000050002909):0.00000100000050002909):0.00186912299507898012):0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,alectoris_rufa:0.00000100000050002909);

/home/qikaiy2/Downloads/reu2019-tutorials/qikaiy2_project_1/output_data/aligns/GTRCAT/RAxML_bestTree.uce-6414.fasta	TreeRAxML_bestTree.uce-6414.fasta	18	1	1	0.201312	0.0393072	0.0624344	(lophophorus_impejanus:0.00000100000050002909,((((((((lophura_nycthemera:0.00850114015000386948,chrysolophus_pictus:0.00280240579023581732):0.00000100000050002909,(crossoptilon_crossoptilon:0.00629549450035259833,(phasianus_colchicus:0.00889868622360323255,(lophura_inornata:0.00497442635028339745,(catreus_wallichi:0.00000100000050002909,lophura_swinhoii:0.00000100000050002909):0.00251089902985664236):0.00313213352123838280):0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,syrmaticus_ellioti:0.00353185345873163617):0.00290258378224554680,perdix_dauuricae:0.01751514790070736807):0.00561999122290018135,melgal2:0.01471932408555828159):0.00280003201178721708,syrmaticus_reevesii:0.00000100000050002909):0.00000100000050002909,((cyrtonyx_montezumae:0.02427648538209808624,pavo_cristatus:0.03190211759747371700):0.00178661788187499111,(galgal4:0.01156497165039281801,tragopan_blythii:0.00865683292937717043):0.00271463147922365719):0.00280949786705231947):0.00280801072229446523,rollulus_rouloul:0.02049074852163538032):0.00000100000050002909,alectoris_rufa:0.01008756768785073858);

/home/qikaiy2/Downloads/reu2019-tutorials/qikaiy2_project_1/output_data/aligns/GTRCAT/RAxML_bestTree.uce-3499.fasta	TreeRAxML_bestTree.uce-3499.fasta	18	1	1	0.0952143	0.0313751	0.0382446	(melgal2:0.00666376025713217180,(lophophorus_impejanus:0.00000100000050002909,(tragopan_blythii:0.00000100000050002909,(((syrmaticus_ellioti:0.00000100000050002909,((cyrtonyx_montezumae:0.01311241367428123313,pavo_cristatus:0.02094733700671029542):0.00356138598484069145,(galgal4:0.00517997604756947113,rollulus_rouloul:0.00697993475232941071):0.00306744682670655145):0.00159363517606643155):0.00000100000050002909,((lophura_swinhoii:0.00000100000050002909,(lophura_nycthemera:0.00000100000050002909,crossoptilon_crossoptilon:0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,((lophura_inornata:0.00197219198273477191,chrysolophus_pictus:0.00805501871450075430):0.00000100000050002909,((phasianus_colchicus:0.00390908162005916288,syrmaticus_reevesii:0.00000100000050002909):0.00000100000050002909,catreus_wallichi:0.00194752002439370592):0.00000100000050002909):0.00000100000050002909):0.00000100000050002909):0.00194360834497342189,perdix_dauuricae:0.00606836745724452595):0.00000100000050002909):0.00000100000050002909):0.00332611214252319940,alectoris_rufa:0.00686952934310522227);

/home/qikaiy2/Downloads/reu2019-tutorials/qikaiy2_project_1/output_data/aligns/GTRCAT/RAxML_bestTree.uce-3724.fasta	TreeRAxML_bestTree.uce-3724.fasta	18	1	1	0.0209296	0.0157009	0.0182621	((galgal4:0.00256022746586074407,(tragopan_blythii:0.00000100000050002909,(lophura_nycthemera:0.00000100000050002909,crossoptilon_crossoptilon:0.00000100000050002909):0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,((catreus_wallichi:0.00000100000050002909,lophophorus_impejanus:0.00000100000050002909):0.00000100000050002909,((lophura_inornata:0.00000100000050002909,(perdix_dauuricae:0.00000100000050002909,((rollulus_rouloul:0.01056014903102988657,((syrmaticus_ellioti:0.00000100000050002909,(chrysolophus_pictus:0.00000100000050002909,((melgal2:0.00000100000050002909,cyrtonyx_montezumae:0.00259322044416945667):0.00000100000050002909,pavo_cristatus:0.00000100000050002909):0.00000100000050002909):0.00000372158147638326):0.00000104383263944241,lophura_swinhoii:0.00000100000050002909):0.00004951300144932051):0.00513576623828346842,syrmaticus_reevesii:0.00000100000050002909):0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,phasianus_colchicus:0.00000100000050002909):0.00000100000050002909):0.00000100000050002909,alectoris_rufa:0.00000100000050002909);

/home/qikaiy2/Downloads/reu2019-tutorials/qikaiy2_project_1/output_data/aligns/GTRCAT/RAxML_bestTree.uce-1588.fasta	TreeRAxML_bestTree.uce-1588.fasta	18	1	1	0.185033	0.0625126	0.083015	(galgal4:0.02050237963625721124,(pavo_cristatus:0.01711915870615120586,((cyrtonyx_montezumae:0.04488862232386010842,rollulus_rouloul:0.01892131784946682327):0.01279939120393490740,((((((syrmaticus_reevesii:0.00334726563975477507,phasianus_colchicus:0.00246974332673073442):0.00143028115782505082,((perdix_dauuricae:0.00272228949033894059,syrmaticus_ellioti:0.00000100000050002909):0.00198596094825288045,lophura_swinhoii:0.00000100000050002909):0.00181588390726557074):0.00189700726632519674,((((tragopan_blythii:0.00000100000050002909,lophura_nycthemera:0.00000100000050002909):0.00582829019832217365,catreus_wallichi:0.00437277083549422567):0.00000100000050002909,crossoptilon_crossoptilon:0.00307108902077339683):0.00000100000050002909,chrysolophus_pictus:0.00143822765013775010):0.00144442126612581907):0.00145310984873676594,lophura_inornata:0.00000100000050002909):0.00148503576928587220,melgal2:0.01215897632306375299):0.00207468871318499922,lophophorus_impejanus:0.00505039139920214399):0.00422387137144040678):0.00142363439333234197):0.00340097573552143595,alectoris_rufa:0.00770125175505686696);
