MODL,REPL,MULT,DIST,TREE,ESTI_LNTH,TRUE_LNTH
100M3,R0,1,JC,NJ,6.7889,0.194897491864
100M3,R0,1,JC,NJ,1.174,NA
100M3,R0,1,JC,NJ,6.9506,NA
100M3,R0,1,JC,NJ,13.2825,NA
100M3,R0,1,JC,NJ,6.0349,NA
100M3,R0,1,JC,NJ,8.55,NA
100M3,R0,1,JC,NJ,28.4975,NA
100M3,R0,1,JC,NJ,11.9851,NA
100M3,R0,1,JC,NJ,19.6992,0.168351138871
100M3,R0,1,JC,NJ,9.3066,0.234164181393
100M3,R0,1,JC,NJ,56.0348,0.234485703453
100M3,R0,1,JC,NJ,33.5474,0.412871962444
100M3,R0,1,JC,NJ,10.2507,NA
100M3,R0,1,JC,NJ,51.1154,NA
100M3,R0,1,JC,NJ,47.521,NA
100M3,R0,1,JC,NJ,34.9221,NA
100M3,R0,1,JC,NJ,26.2538,NA
100M3,R0,1,JC,NJ,55.2189,NA
100M3,R0,1,JC,NJ,2.2595,NA
100M3,R0,1,JC,NJ,55.495,NA
100M3,R0,1,JC,NJ,5.8286,NA
100M3,R0,1,JC,NJ,39.4207,NA
100M3,R0,1,JC,NJ,17.7413,0.945974455225
100M3,R0,1,JC,NJ,28.3466,0.212236572902
100M3,R0,1,JC,NJ,27.457,NA
100M3,R0,1,JC,NJ,6.0718,NA
100M3,R0,1,JC,NJ,13.4125,0.352622772191
100M3,R0,1,JC,NJ,9.7749,NA
100M3,R0,1,JC,NJ,41.5251,NA
100M3,R0,1,JC,NJ,24.6818,0.60419869858
100M3,R0,1,JC,NJ,0.2543,0.12013001895
100M3,R0,1,JC,NJ,1.2707,NA
100M3,R0,1,JC,NJ,29.4203,NA
100M3,R0,1,JC,NJ,12.8426,NA
100M3,R0,1,JC,NJ,4.0427,NA
100M3,R0,1,JC,NJ,24.0409,0.175683143742
100M3,R0,1,JC,NJ,19.0786,NA
100M3,R0,1,JC,NJ,11.3084,NA
100M3,R0,1,JC,NJ,1.5564,NA
100M3,R0,1,JC,NJ,46.4614,NA
100M3,R0,1,JC,NJ,30.8656,NA
100M3,R0,1,JC,NJ,5.2294,NA
100M3,R0,1,JC,NJ,17.3839,NA
100M3,R0,1,JC,NJ,20.2818,NA
100M3,R0,1,JC,NJ,12.5953,NA
100M3,R0,1,JC,NJ,18.3348,NA
100M3,R0,1,JC,NJ,9.6306,NA
100M3,R0,1,JC,NJ,0.357,0.531581070124
100M3,R0,1,JC,NJ,98.2179,NA
100M3,R0,1,JC,NJ,15.1494,NA
100M3,R0,1,JC,NJ,5.0872,NA
100M3,R0,1,JC,NJ,164.1405,NA
100M3,R0,1,JC,NJ,3.5232,NA
100M3,R0,1,JC,NJ,5.3462,NA
100M3,R0,1,JC,NJ,8.3095,NA
100M3,R0,1,JC,NJ,4.8891,NA
100M3,R0,1,JC,NJ,19.6458,NA
100M3,R0,1,JC,NJ,58.639,NA
100M3,R0,1,JC,NJ,31.7953,NA
100M3,R0,1,JC,NJ,3.473,NA
100M3,R0,1,JC,NJ,6.2065,NA
100M3,R0,1,JC,NJ,11.668,NA
100M3,R0,1,JC,NJ,9.6933,NA
100M3,R0,1,JC,NJ,16.4494,0.367057211445
100M3,R0,1,JC,NJ,8.8425,NA
100M3,R0,1,JC,NJ,13.8266,NA
100M3,R0,1,JC,NJ,0.6852,NA
100M3,R0,1,JC,NJ,27.397,NA
100M3,R0,1,JC,NJ,6.5905,NA
