MODL,REPL,MULT,DIST,TREE,ESTI_LNTH,ESTI_DPTH,TRUE_LNTH,TRUE_DPTH
100M3,R0,1-0,JC,NJ,0.476227796371,0.476227796371,NA,NA
100M3,R0,1-0,JC,NJ,0.374666186649,0.85089398302,NA,NA
100M3,R0,1-0,JC,NJ,0.110259182913,0.9611531659329999,NA,NA
100M3,R0,1-0,JC,NJ,0.018494805658,0.9796479715909999,NA,NA
100M3,R0,1-0,JC,NJ,0.15689807304,1.1365460446309998,0.15689807304,120.9256
100M3,R0,1-0,JC,NJ,0.513407040346,1.6499530849769999,0.513407040346,133.9111
100M3,R0,1-0,JC,NJ,0.469932069328,2.119885154305,0.469932069328,140.70000000000002
100M3,R0,1-0,JC,NJ,0.367056194056,2.017009279033,0.367056194056,135.0851
100M3,R0,1-0,JC,NJ,0.415832338057,1.5523783826879998,NA,NA
100M3,R0,1-0,JC,NJ,0.697642309121,2.2500206918089996,0.697642309121,140.243
100M3,R0,1-0,JC,NJ,1.090615968551,2.6429943512389995,1.090615968551,129.47560000000001
100M3,R0,1-0,JC,NJ,0.0034635166,0.9831114881909999,NA,NA
100M3,R0,1-0,JC,NJ,0.024656043487,1.007767531678,NA,NA
100M3,R0,1-0,JC,NJ,0.021592510048,1.0293600417259998,NA,NA
100M3,R0,1-0,JC,NJ,0.019887557601,1.0492475993269998,NA,NA
100M3,R0,1-0,JC,NJ,0.036417177486,1.0856647768129999,NA,NA
100M3,R0,1-0,JC,NJ,0.019865968994,1.1055307458069998,NA,NA
100M3,R0,1-0,JC,NJ,0.130427770818,1.2359585166249998,NA,NA
100M3,R0,1-0,JC,NJ,0.12401680192,1.3599753185449999,NA,NA
100M3,R0,1-0,JC,NJ,0.776985368241,2.136960686786,0.776985368241,104.4132
100M3,R0,1-0,JC,NJ,0.72700434656,2.086979665105,0.72700434656,175.2519
100M3,R0,1-0,JC,NJ,0.158574151013,1.3945326676379999,NA,NA
100M3,R0,1-0,JC,NJ,0.186304056752,1.58083672439,NA,NA
100M3,R0,1-0,JC,NJ,0.496296294406,2.0771330187959998,NA,NA
100M3,R0,1-0,JC,NJ,0.351409978652,2.428542997448,NA,NA
100M3,R0,1-0,JC,NJ,0.648196854301,2.229033578691,NA,NA
100M3,R0,1-0,JC,NJ,0.055885962444,2.284919541135,0.055885962444,208.5469
100M3,R0,1-0,JC,NJ,0.708433859652,2.10296652729,0.708433859652,156.4611
100M3,R0,1-0,JC,NJ,0.106250481159,1.2117812269659998,NA,NA
100M3,R0,1-0,JC,NJ,0.176445167869,1.3882263948349998,NA,NA
100M3,R0,1-0,JC,NJ,0.730075950439,2.1183023452739995,NA,NA
100M3,R0,1-0,JC,NJ,0.636959291329,2.025185686164,NA,NA
100M3,R0,1-0,JC,NJ,0.177066289374,1.3888475163399998,0.177066289374,80.9873
100M3,R0,1-0,JC,NJ,0.767044494006,2.1558920103459998,0.767044494006,98.7286
100M3,R0,1-0,JC,NJ,0.765587868296,2.154435384636,0.765587868296,108.4443
100M3,R0,1-0,JC,NJ,1.054870331684,3.20930571632,NA,NA
100M3,R0,1-0,JC,NJ,0.100937378748,1.1866021555609998,NA,NA
100M3,R0,1-0,JC,NJ,0.161286358581,1.3478885141419998,NA,NA
100M3,R0,1-0,JC,NJ,0.865319026193,2.213207540335,NA,NA
100M3,R0,1-0,JC,NJ,0.276071117594,1.6239596317359999,NA,NA
100M3,R0,1-0,JC,NJ,0.43374160484,2.057701236576,NA,NA
100M3,R0,1-0,JC,NJ,0.612198194524,2.23615782626,NA,NA
100M3,R0,1-0,JC,NJ,0.538711288366,1.725313443927,NA,NA
100M3,R0,1-0,JC,NJ,0.417080011374,2.142393455301,NA,NA
100M3,R0,1-0,JC,NJ,0.924912194002,3.067305649303,NA,NA
100M3,R0,1-0,JC,NJ,0.698521204102,2.423834648029,NA,NA
100M3,R0,1-0,JC,NJ,0.054676708008,1.1039243073349998,NA,NA
100M3,R0,1-0,JC,NJ,0.352914908856,1.4568392161909998,NA,NA
100M3,R0,1-0,JC,NJ,0.553702503361,2.0105417195519997,NA,NA
100M3,R0,1-0,JC,NJ,0.168901021767,2.179442741319,NA,NA
100M3,R0,1-0,JC,NJ,0.212481183578,1.6693203997689998,NA,NA
100M3,R0,1-0,JC,NJ,0.369339606882,2.038660006651,0.369339606882,117.56769999999999
100M3,R0,1-0,JC,NJ,0.513952052722,2.183272452491,0.513952052722,100.4155
100M3,R0,1-0,JC,NJ,0.17582908979,1.279753397125,NA,NA
100M3,R0,1-0,JC,NJ,0.256878296928,1.5366316940529998,NA,NA
100M3,R0,1-0,JC,NJ,0.556965191261,2.0935968853139997,NA,NA
100M3,R0,1-0,JC,NJ,0.357491351762,1.8941230458149998,NA,NA
100M3,R0,1-0,JC,NJ,0.182926240347,2.0770492861619996,NA,NA
100M3,R0,1-0,JC,NJ,0.09662996205,1.3763833591749999,NA,NA
100M3,R0,1-0,JC,NJ,0.810182700957,2.186566060132,NA,NA
100M3,R0,1-0,JC,NJ,0.615212783762,1.991596142937,NA,NA
100M3,R0,1-0,JC,NJ,0.07272191926,1.1020819609859998,NA,NA
100M3,R0,1-0,JC,NJ,0.129664339829,1.2317463008149998,NA,NA
100M3,R0,1-0,JC,NJ,0.839408814927,2.071155115742,NA,NA
100M3,R0,1-0,JC,NJ,0.328122097213,1.5598683980279997,NA,NA
100M3,R0,1-0,JC,NJ,0.533727774344,2.0935961723719996,NA,NA
100M3,R0,1-0,JC,NJ,0.702514338735,2.2623827367629996,NA,NA
100M3,R0,1-0,JC,NJ,0.169266377878,1.2713483388639997,NA,NA
100M3,R0,1-0,JC,NJ,0.83379125335,2.105139592214,NA,NA
100M3,R0,1-0,JC,NJ,0.173321687138,2.278461279352,NA,NA
100M3,R0,1-0,JC,NJ,0.37820692913,1.6495552679939998,NA,NA
100M3,R0,1-0,JC,NJ,0.324546047547,1.9741013155409997,NA,NA
100M3,R0,1-0,JC,NJ,0.391180691402,2.3652820069429996,0.391180691402,138.95950000000002
100M3,R0,1-0,JC,NJ,0.309045407494,1.9586006754879999,0.309045407494,128.52630000000002
100M3,R0,1-0,JC,NJ,0.059751850252,1.06751938193,NA,NA
100M3,R0,1-0,JC,NJ,0.274736923712,1.342256305642,NA,NA
100M3,R0,1-0,JC,NJ,0.766728382971,2.108984688613,NA,NA
100M3,R0,1-0,JC,NJ,0.78191916617,2.1241754718120003,NA,NA
100M3,R0,1-0,JC,NJ,0.134491700893,1.202011082823,NA,NA
100M3,R0,1-0,JC,NJ,0.163138455362,1.3651495381849998,NA,NA
100M3,R0,1-0,JC,NJ,0.570276333482,1.9354258716669999,NA,NA
100M3,R0,1-0,JC,NJ,0.116735879997,2.052161751664,0.116735879997,112.01670000000001
100M3,R0,1-0,JC,NJ,0.447139529167,1.64915061199,0.447139529167,136.6694
100M3,R0,1-0,JC,NJ,0.329325240175,1.9784758521649999,NA,NA
100M3,R0,1-0,JC,NJ,0.548687389854,1.531798878045,NA,NA
100M3,R0,1-0,JC,NJ,0.627497890359,2.1592967684040003,NA,NA
100M3,R0,1-0,JC,NJ,0.663561775086,2.195360653131,0.663561775086,119.7642
100M3,R0,1-0,JC,NJ,0.140333023077,1.1014861890099998,NA,NA
100M3,R0,1-0,JC,NJ,0.93750193522,2.03898812423,NA,NA
100M3,R0,1-0,JC,NJ,0.550424077603,2.589412201833,NA,NA
100M3,R0,1-0,JC,NJ,0.051508947629,1.1529951366389999,NA,NA
100M3,R0,1-0,JC,NJ,0.259743748008,1.412738884647,NA,NA
100M3,R0,1-0,JC,NJ,0.631495738669,2.044234623316,NA,NA
100M3,R0,1-0,JC,NJ,0.680514194941,2.093253079588,NA,NA
100M3,R0,1-0,JC,NJ,0.898887252825,2.0518823894639997,NA,NA
100M3,R0,1-0,JC,NJ,1.064597960064,1.915491943084,NA,NA
100M3,R0,1-0,JC,NJ,0.783702437112,1.259930233483,NA,NA
100M3,R0,0-1,JC,NJ,0.822041063425,0.822041063425,NA,NA
100M3,R0,0-1,JC,NJ,0.117874689246,0.939915752671,NA,NA
100M3,R0,0-1,JC,NJ,0.077622172621,1.017537925292,NA,NA
100M3,R0,0-1,JC,NJ,0.011560729154,1.0290986544460001,NA,NA
100M3,R0,0-1,JC,NJ,0.048852080946,1.0779507353920001,NA,NA
100M3,R0,0-1,JC,NJ,0.030036637658,1.10798737305,NA,NA
100M3,R0,0-1,JC,NJ,0.495808957339,1.6037963303890002,0.495808957339,13.391110000000001
100M3,R0,0-1,JC,NJ,0.421668998807,2.0254653291960003,0.421668998807,14.07
100M3,R0,0-1,JC,NJ,1.441757266114,3.045553596503,1.441757266114,13.508510000000001
100M3,R0,0-1,JC,NJ,0.201151767224,1.309139140274,NA,NA
100M3,R0,0-1,JC,NJ,0.608897094008,1.9180362342819999,NA,NA
100M3,R0,0-1,JC,NJ,0.719616655603,2.637652889885,0.719616655603,14.024300000000002
100M3,R0,0-1,JC,NJ,0.163605129665,1.472744269939,NA,NA
100M3,R0,0-1,JC,NJ,0.087806902433,1.560551172372,NA,NA
100M3,R0,0-1,JC,NJ,1.212240628854,2.772791801226,NA,NA
100M3,R0,0-1,JC,NJ,0.473398768889,3.246190570115,NA,NA
100M3,R0,0-1,JC,NJ,0.701184602149,3.473976403375,NA,NA
